Wall time,Step,Value
1769119712.4228563,199,2.5995330810546875
1769119724.6054273,299,2.3186445236206055
1769119730.653905,349,2.2487077713012695
1769119742.9968402,449,2.0820093154907227
1769119755.5057,549,1.9452297687530518
1769119761.7757692,599,1.9202601909637451
1769119774.207598,699,1.8169728517532349
1769119780.3960996,749,1.8094546794891357
1769119786.480525,799,1.7590254545211792
1769119792.6384835,849,1.7069315910339355
1769119798.7465687,899,1.7276986837387085
1769119806.4948106,949,1.6740003824234009
1769119815.2200155,999,1.6446107625961304
1769119823.8817759,1049,1.6273363828659058
1769119858.0126824,1249,1.5534459352493286
1769119866.4734666,1299,1.532392144203186
1769119902.172911,1549,1.4470393657684326
1769119920.7761161,1699,1.3888911008834839
1769119926.9656994,1749,1.3888133764266968
1769119939.378378,1849,1.3581008911132812
1769119958.0280547,1999,1.3126722574234009
1769119964.1746247,2049,1.3023133277893066
1769119976.6088314,2149,1.259456753730774
1769119983.286518,2199,1.2608071565628052
1769119992.0227675,2249,1.2484155893325806
1769120000.7893167,2299,1.2250471115112305
1769120018.0394614,2399,1.201871395111084
1769120035.1097631,2499,1.1625999212265015
1769120043.6356654,2549,1.1566237211227417
1769120069.15003,2699,1.1503432989120483
1769120077.6906822,2749,1.090390920639038
1769120102.2062025,2799,1.102481722831726
1769120108.473301,2849,1.117029070854187
1769120114.6789472,2899,1.0763641595840454
1769120133.2350423,3049,1.0563782453536987
1769120139.47119,3099,1.0497738122940063
1769120151.9090817,3199,1.0264943838119507
1769120164.3459163,3299,0.9967937469482422
1769120170.6189399,3349,0.9724462032318115
1769120178.5257866,3399,0.9698837995529175
1769120187.2503557,3449,0.9563312530517578
1769120213.1144402,3599,0.9442237615585327
1769120221.6889627,3649,0.9247474074363708
1769120230.234637,3699,0.9265782833099365
1769120238.7011163,3749,0.9274120330810547
1769120255.6261766,3849,0.9009298086166382
1769120271.2248306,3949,0.8776391744613647
1769120277.1270714,3999,0.8678285479545593
1769120307.2790387,4249,0.820525586605072
1769120313.3398309,4299,0.834480881690979
1769120319.5905042,4349,0.853497326374054
1769120325.7945788,4399,0.8085890412330627
1769120331.994431,4449,0.8112480640411377
1769120338.2151725,4499,0.8016870617866516
1769120373.7325125,4749,0.7608191967010498
1769120441.8532126,5149,0.6968098282814026
1769120455.0401719,5249,0.6696977019309998
1769120461.0863853,5299,0.6690523624420166
1769120467.1523683,5349,0.6698271036148071
1769120526.3057485,5699,0.6292106509208679
1769120546.6658466,5849,0.6052852869033813
1769120563.9316301,5949,0.5956135392189026
1769120572.6032724,5999,0.589098334312439
1769120581.2593138,6049,0.5777438879013062
1769120615.1671605,6249,0.5353125929832458
1769120623.6100986,6299,0.5646899938583374
1769120630.7802262,6349,0.5665637850761414
1769120648.890396,6499,0.5260827541351318
1769120654.915313,6549,0.5264755487442017
1769120673.2517076,6699,0.5226141214370728
1769120697.6210403,6899,0.5054073929786682
1769120710.338063,6999,0.5055503249168396
1769120723.116183,7099,0.4806002378463745
1769120729.4274707,7149,0.47348660230636597
1769120738.051922,7199,0.47553902864456177
1769120746.7722151,7249,0.474934458732605
1769120755.429836,7299,0.4578011631965637
1769120764.0798106,7349,0.4662335515022278
1769120781.318983,7449,0.4621117413043976
1769120798.4198873,7549,0.45427659153938293
1769120824.054959,7699,0.4398233890533447
1769120831.939679,7749,0.44991782307624817
1769120838.0801864,7799,0.4367971122264862
1769120850.5124083,7899,0.42648059129714966
1769120856.6167698,7949,0.41685622930526733
1769120862.634033,7999,0.42114922404289246
1769120875.086754,8099,0.41469699144363403
1769120881.348821,8149,0.4020480215549469
1769120893.9259212,8249,0.3986131250858307
1769120900.1800163,8299,0.4101671278476715
1769120930.2491875,8399,0.3930433392524719
1769120939.0528088,8449,0.3875763714313507
1769120965.1566145,8599,0.3762269616127014
1769120999.525856,8799,0.3837965428829193
1769121008.0929642,8849,0.3756349980831146
1769121016.629451,8899,0.37373989820480347
1769121025.172405,8949,0.37267810106277466
1769121041.1396585,9049,0.36551108956336975
1769121047.346749,9099,0.3775537610054016
1769121059.386341,9199,0.3569008708000183
1769121071.5845459,9299,0.3560847342014313
1769121077.8398457,9349,0.370637983083725
1769121084.112493,9399,0.3548046052455902
1769121090.329419,9449,0.35044506192207336
1769121102.7649708,9549,0.3503028154373169
1769121109.0164657,9599,0.3561173975467682
1769121162.3175488,9949,0.34448251128196716
1769121196.656633,10149,0.34652644395828247
1769121230.6632645,10349,0.33829909563064575
1769121236.8568301,10399,0.33597785234451294
1769121242.9995465,10449,0.34058746695518494
1769121267.3931475,10649,0.3217901885509491
1769121273.5247135,10699,0.3289807438850403
1769121279.6090536,10749,0.3268251121044159
1769121285.6954274,10799,0.32918423414230347
1769121304.214491,10949,0.33013564348220825
1769121310.3263032,10999,0.31826499104499817
1769121354.4072802,11149,0.3183963894844055
1769121363.0213175,11199,0.315750390291214
1769121380.0856626,11299,0.3219893276691437
1769121388.6166003,11349,0.30735766887664795
1769121397.0989544,11399,0.3069981336593628
1769121413.627531,11499,0.3093757629394531
1769121419.7980614,11549,0.30295994877815247
1769121425.9460206,11599,0.31288620829582214
1769121432.099764,11649,0.3047248125076294
1769121438.1482117,11699,0.31798821687698364
1769121444.2405362,11749,0.3027499318122864
1769121462.8399675,11899,0.29861411452293396
1769121469.0031674,11949,0.3113153874874115
1769121481.4009678,12049,0.30656898021698
1769121508.4748251,12249,0.30016106367111206
1769121517.2404187,12299,0.30768895149230957
1769121534.5763671,12399,0.3015526533126831
1769121551.8776956,12499,0.3070192039012909
1769121560.4634485,12549,0.30046555399894714
1769121601.7407248,12799,0.2982965409755707
1769121620.1560442,12949,0.29766327142715454
1769121626.2542112,12999,0.2994709610939026
1769121632.1908748,13049,0.2929691672325134
1769121638.289248,13099,0.28766798973083496
1769121650.7328691,13199,0.29412177205085754
1769121675.6767094,13399,0.2956371009349823
1769121688.0901492,13499,0.28881359100341797
1769121705.0473392,13599,0.28803741931915283
1769121713.7199833,13649,0.283969521522522
1769121722.365707,13699,0.2900426387786865
1769121756.6868718,13899,0.29275524616241455
1769121786.5751886,13949,0.2782081663608551
1769121799.2968528,14049,0.2758697271347046
1769121811.9671347,14149,0.28069156408309937
1769121823.6181746,14249,0.27979549765586853
1769121854.9775674,14499,0.27958986163139343
1769121867.5751727,14599,0.26877355575561523
1769121873.970461,14649,0.27654778957366943
1769121900.1572602,14799,0.278403103351593
1769121917.3366776,14899,0.27391353249549866
1769121925.8422782,14949,0.2744929790496826
1769121934.4317396,14999,0.2855429947376251
1769121951.368647,15099,0.27337443828582764
1769121959.948934,15149,0.2611907124519348
1769121967.0123682,15199,0.27413830161094666
1769121991.6921291,15399,0.2713436186313629
1769121997.9673314,15449,0.2668927311897278
1769122010.3761747,15549,0.27692610025405884
1769122028.2790358,15699,0.27128615975379944
1769122053.6933742,15899,0.2645166516304016
1769122060.0255923,15949,0.25623980164527893
1769122067.5510519,15999,0.27431821823120117
1769122076.3463254,16049,0.2738489806652069
1769122093.6677709,16149,0.2680421769618988
1769122119.4274447,16299,0.2637574076652527
1769122127.9250777,16349,0.2717699110507965
1769122136.3531482,16399,0.27536115050315857
1769122158.7764735,16549,0.27188920974731445
1769122164.7959356,16599,0.26514652371406555
1769122176.9829063,16699,0.26376816630363464
1769122217.758761,16899,0.25248414278030396
1769122230.0183709,16999,0.2567230761051178
1769122242.4692812,17099,0.2637462019920349
1769122249.9421508,17149,0.2608892321586609
1769122258.7307003,17199,0.264764666557312
1769122267.364124,17249,0.2626779079437256
1769122275.9682894,17299,0.25730735063552856
1769122293.1423318,17399,0.26048213243484497
1769122301.7558107,17449,0.263683557510376
1769122340.2384558,17699,0.25291797518730164
1769122346.3508396,17749,0.2501751482486725
1769122358.4376426,17849,0.2533937394618988
1769122370.5249333,17949,0.2615705728530884
1769122376.6422067,17999,0.2530263364315033
1769122382.7813406,18049,0.25066304206848145
1769122395.3892746,18149,0.253160297870636
1769122401.3457298,18199,0.25379136204719543
1769122407.216606,18249,0.2602251172065735
1769122413.5172205,18299,0.24980570375919342
1769122426.0131488,18399,0.25209668278694153
1769122433.7158115,18449,0.2609342634677887
1769122451.2398436,18549,0.2510475516319275
1769122459.835905,18599,0.2530848979949951
1769122476.9576676,18699,0.24285948276519775
1769122494.0215976,18799,0.24692751467227936
1769122510.9188654,18899,0.2471609115600586
1769122519.1842563,18949,0.25203725695610046
1769122525.2427533,18999,0.2520129382610321
1769122537.4208004,19099,0.2486681044101715
1769122543.4564054,19149,0.2419111579656601
1769122562.2561839,19299,0.24568265676498413
1769122568.5029557,19349,0.25139155983924866
1769122574.7586734,19399,0.25389137864112854
1769122580.9775968,19449,0.2565808892250061
1769122610.4521933,19549,0.24781526625156403
1769122616.7392323,19599,0.24605076014995575
1769122623.0866895,19649,0.2429111897945404
1769122631.5326962,19699,0.24668483436107635
1769122674.6848514,19949,0.24482540786266327
1769122708.656619,20149,0.2439296692609787
1769122716.3469636,20199,0.24666742980480194
1769122728.4272807,20299,0.2463608682155609
1769122746.756717,20449,0.24244695901870728
1769122789.6143126,20799,0.2392238974571228
1769122795.7004328,20849,0.24981506168842316
1769122826.4478602,21049,0.24781130254268646
1769122835.0751774,21099,0.24297402799129486
1769122843.6108775,21149,0.2367667704820633
