Wall time,Step,Value
1768988927.9735436,299,2.5317609310150146
1768988950.8310812,949,2.429354429244995
1768988961.2561111,1249,2.3336877822875977
1768988989.1184268,2049,2.0338544845581055
1768988992.6058538,2149,2.0227649211883545
1768988997.8544064,2299,1.9934823513031006
1768989001.3302214,2399,1.959566593170166
1768989011.7499886,2699,1.9193731546401978
1768989016.9969091,2849,1.90361750125885
1768989048.3787355,3599,1.809902548789978
1768989053.6002495,3749,1.8484692573547363
1768989088.5562053,4749,1.7208125591278076
1768989102.4502232,5149,1.7223923206329346
1768989107.6756232,5299,1.7308874130249023
1768989109.4088497,5349,1.7250628471374512
1768989121.5866125,5699,1.7340686321258545
1768989149.4827845,6349,1.7276135683059692
1768989172.0393412,6999,1.7172454595565796
1768989191.169444,7549,1.6836700439453125
1768989199.9604785,7799,1.6632806062698364
1768989205.1983469,7949,1.7062482833862305
1768989220.8009207,8399,1.6520297527313232
1768989222.5314484,8449,1.6557180881500244
1768989239.7320232,8949,1.6218359470367432
1768989248.339406,9199,1.6637089252471924
1768989251.7707324,9299,1.6618247032165527
1768989253.5119505,9349,1.6354948282241821
1768989265.481008,9549,1.6445187330245972
1768989279.2637062,9949,1.627829909324646
1768989293.1481311,10349,1.6524124145507812
1768989294.8687294,10399,1.6509835720062256
1768989303.5115407,10649,1.6385194063186646
1768989322.4946644,11199,1.627272605895996
1768989332.829738,11499,1.625556230545044
1768989341.419324,11749,1.6184710264205933
1768989346.6404276,11899,1.6138757467269897
1768989367.384591,12499,1.602821707725525
1768989382.792107,12799,1.6109564304351807
1768989391.3742526,13049,1.5972387790679932
1768989403.4397657,13399,1.5860730409622192
1768989410.343051,13599,1.584389328956604
1768989413.810257,13699,1.5965673923492432
1768989446.5482101,14649,1.6045819520950317
1768989455.1503801,14899,1.6114126443862915
1768989456.8668296,14949,1.551527738571167
1768989465.43616,15199,1.5811406373977661
1768989474.0317013,15449,1.5666604042053223
1768989477.4598582,15549,1.5652583837509155
1768989496.2073739,15949,1.5888245105743408
1768989497.918945,15999,1.5708895921707153
1768989509.981961,16349,1.5921865701675415
1768989516.8808973,16549,1.554740309715271
1768989532.4597445,16999,1.5829511880874634
1768989546.1985526,17399,1.5555779933929443
1768989573.7251453,18199,1.5674115419387817
1768989580.6198707,18399,1.5901128053665161
1768989602.8363318,18899,1.5596656799316406
1768989606.2856855,18999,1.5508960485458374
1768989678.6659565,21099,1.5412895679473877
1768989680.3989322,21149,1.5392781496047974
1768989694.187066,21549,1.5469772815704346
1768989714.6780987,21999,1.5338574647903442
1768989718.129924,22099,1.548590064048767
1768989719.8540635,22149,1.5613486766815186
1768989725.0175927,22299,1.5460745096206665
1768989735.3390515,22599,1.5422391891479492
1768989750.8442903,23049,1.5604013204574585
1768989756.0308483,23199,1.5534847974777222
1768989757.7653568,23249,1.565577745437622
1768989775.0021741,23749,1.5321624279022217
1768989804.315013,24599,1.5257983207702637
1768989807.7660275,24699,1.5532890558242798
1768989836.9120624,25399,1.5328575372695923
1768989845.5296993,25649,1.538604736328125
1768989848.9691303,25749,1.517897605895996
1768989854.1457622,25899,1.5272773504257202
1768989867.9433315,26299,1.5169833898544312
1768989878.2735937,26599,1.5171633958816528
1768989881.7129085,26699,1.5244601964950562
1768989886.8541648,26849,1.5077600479125977
1768989897.1472878,27149,1.5207537412643433
1768989905.7507784,27399,1.5205270051956177
1768989922.9121351,27899,1.5347926616668701
1768989938.3042786,28199,1.5062949657440186
1768989948.7099566,28499,1.5262398719787598
1768989955.581343,28699,1.526940941810608
1768989965.9539537,28999,1.5097787380218506
1768989969.4151108,29099,1.542029857635498
1768989974.590027,29249,1.4857254028320312
1768989978.0257497,29349,1.507612943649292
1768989979.7429838,29399,1.5056058168411255
1768989988.3927088,29649,1.5314465761184692
1768989990.1131663,29699,1.5048714876174927
1768990005.5924146,30149,1.5074654817581177
1768990015.9158556,30449,1.525205135345459
1768990019.376297,30549,1.4827972650527954
1768990027.984556,30799,1.49798583984375
1768990036.6147401,31049,1.5091829299926758
1768990040.0544772,31149,1.4937009811401367
1768990065.7603915,31749,1.509973168373108
1768990077.8448412,32099,1.4994559288024902
1768990079.581586,32149,1.5061955451965332
1768990083.0274444,32249,1.4950119256973267
1768990086.4718945,32349,1.5180244445800781
1768990088.2044952,32399,1.4995412826538086
1768990091.6467965,32499,1.511074185371399
1768990112.3502269,33099,1.484255313873291
1768990117.5334764,33249,1.505429983139038
1768990124.4429061,33449,1.5047509670257568
1768990129.6512387,33599,1.5100147724151611
1768990134.85719,33749,1.519547939300537
1768990141.7451532,33949,1.5168496370315552
1768990143.47884,33999,1.5245509147644043
1768990150.3944318,34199,1.4827226400375366
1768990158.975124,34449,1.4891865253448486
1768990182.8460739,34999,1.5058746337890625
1768990194.9070742,35349,1.518237590789795
1768990208.742642,35749,1.4912824630737305
1768990215.6195455,35949,1.5011996030807495
1768990220.7903337,36099,1.493003487586975
1768990222.5309367,36149,1.49961519241333
1768990224.253601,36199,1.5171006917953491
1768990236.2897058,36549,1.4851787090301514
1768990246.5911212,36849,1.4972854852676392
1768990250.032593,36949,1.498438835144043
1768990251.7418933,36999,1.508137822151184
1768990258.6387339,37199,1.514042615890503
1768990265.5421915,37399,1.4572774171829224
1768990277.3770509,37599,1.4690332412719727
1768990279.1084642,37649,1.4735841751098633
1768990285.9925005,37849,1.5222347974777222
1768990301.4376047,38299,1.4976544380187988
1768990308.3694751,38499,1.4745112657546997
1768990310.1054282,38549,1.4749869108200073
1768990311.8230536,38599,1.487951636314392
1768990315.2687018,38699,1.474245548248291
1768990316.9880486,38749,1.5125949382781982
1768990327.3695638,39049,1.5206732749938965
1768990334.2832434,39249,1.4989984035491943
1768990336.002203,39299,1.4873745441436768
1768990339.434069,39399,1.4801115989685059
1768990342.884113,39499,1.4864697456359863
1768990348.0240707,39649,1.4866174459457397
1768990349.7477016,39699,1.4884196519851685
1768990351.4915833,39749,1.4948670864105225
1768990358.3790464,39949,1.4962750673294067
1768990365.3150272,40149,1.5052649974822998
1768990373.9378042,40399,1.486609935760498
1768990375.655564,40449,1.4699981212615967
1768990377.3702176,40499,1.4795010089874268
1768990421.8765292,41649,1.487697958946228
1768990428.7809203,41849,1.4793057441711426
1768990432.2415512,41949,1.507420301437378
1768990440.906629,42199,1.5045493841171265
1768990482.2412133,43399,1.4708738327026367
1768990485.6979163,43499,1.4765362739562988
1768990494.3477669,43749,1.4891360998153687
1768990497.7904544,43849,1.4795794486999512
1768990509.722774,44049,1.4765774011611938
1768990513.1672814,44149,1.4672818183898926
1768990526.9212797,44549,1.47333562374115
1768990537.3179104,44849,1.4952157735824585
1768990544.244866,45049,1.4702852964401245
1768990556.338902,45399,1.484918236732483
1768990559.8072517,45499,1.47519850730896
1768990570.13782,45799,1.4631872177124023
1768990573.5757053,45899,1.464259386062622
1768990578.7425537,46049,1.4907587766647339
1768990583.8969026,46199,1.4530665874481201
1768990597.728383,46599,1.4901995658874512
1768990599.471609,46649,1.5022330284118652
1768990604.654935,46799,1.4853286743164062
1768990621.701981,47149,1.467814326286316
1768990626.8565755,47299,1.454984188079834
1768990642.4157317,47749,1.4638772010803223
1768990649.3243608,47949,1.4505330324172974
1768990654.4940734,48099,1.4585412740707397
1768990656.2221992,48149,1.4583855867385864
1768990671.7462385,48599,1.4502453804016113
1768990673.4711728,48649,1.482071042060852
1768990680.3442252,48849,1.4543973207473755
1768990683.7869172,48949,1.4976170063018799
1768990685.5064995,48999,1.445268154144287
1768990692.379273,49199,1.477846384048462
1768990694.0930438,49249,1.455379605293274
1768990699.2643955,49399,1.4509460926055908
1768990700.9849977,49449,1.451991081237793
1768990714.7431736,49849,1.481789231300354
1768990721.6405044,50049,1.4632455110549927
1768990730.1606994,50149,1.5004477500915527
1768990733.6291177,50249,1.4653664827346802
1768990735.332475,50299,1.4512618780136108
1768990750.8506126,50749,1.4767990112304688
1768990756.0283115,50899,1.4656978845596313
1768990769.8075716,51299,1.4673125743865967
1768990773.2837093,51399,1.4424662590026855
1768990781.8686419,51649,1.454219102859497
1768990790.4439929,51899,1.4585316181182861
1768990802.555645,52249,1.474733591079712
1768990824.9478433,52899,1.4860634803771973
1768990835.2723334,53199,1.4571768045425415
1768990845.5244644,53349,1.462967038154602
1768990848.982669,53449,1.4646966457366943
1768990855.877736,53649,1.449129343032837
1768990862.7685657,53849,1.4430688619613647
1768990866.2156281,53949,1.4483908414840698
1768990874.8490531,54199,1.465600848197937
1768990876.5707583,54249,1.4491302967071533
1768990892.1221662,54699,1.4389687776565552
1768990902.5039074,54999,1.4396454095840454
1768990909.3845108,55199,1.4469025135040283
1768990911.1005337,55249,1.485949993133545
1768990928.2982938,55749,1.422481894493103
1768990936.8948677,55999,1.4507629871368408
1768990965.96589,56699,1.4384808540344238
1768990969.411647,56799,1.443587303161621
1768991003.8412206,57799,1.4387106895446777
1768991005.5763397,57849,1.4318395853042603
1768991012.5198226,58049,1.4345859289169312
1768991014.2546856,58099,1.4517556428909302
1768991015.9784207,58149,1.4533041715621948
1768991046.992266,59049,1.4631969928741455
1768991055.6067793,59299,1.4446649551391602
1768991072.573122,59649,1.4237189292907715
1768991074.3022673,59699,1.4798611402511597
1768991084.6276205,59999,1.4357928037643433
1768991088.0653067,60099,1.4648021459579468
1768991096.697121,60349,1.4474518299102783
1768991100.1538184,60449,1.4392353296279907
1768991141.6116493,61649,1.453058123588562
1768991145.076469,61749,1.42777681350708
1768991148.52913,61849,1.4423311948776245
1768991162.3648248,62249,1.4438302516937256
1768991167.5455813,62399,1.4547375440597534
1768991186.4489505,62799,1.437005877494812
1768991191.6299517,62949,1.4281460046768188
1768991196.7980735,63099,1.4464541673660278
1768991219.1942484,63749,1.4410971403121948
1768991231.2900908,64099,1.438881278038025
1768991241.6914804,64399,1.4206302165985107
1768991252.037278,64699,1.426680564880371
1768991253.768111,64749,1.4514880180358887
1768991264.12046,65049,1.4312078952789307
1768991281.3566864,65549,1.4363186359405518
1768991294.9602318,65799,1.4325745105743408
1768991296.6962192,65849,1.4267274141311646
1768991301.8803265,65999,1.4157830476760864
1768991312.1818202,66299,1.4426300525665283
1768991315.6279721,66399,1.4080755710601807
1768991320.767206,66549,1.43101167678833
1768991325.9415019,66699,1.4687515497207642
1768991331.103947,66849,1.4440393447875977
1768991332.8159611,66899,1.4175790548324585
1768991363.8326497,67799,1.4409807920455933
1768991389.6620057,68549,1.4388149976730347
1768991420.4010022,69299,1.4397902488708496
1768991425.6075015,69449,1.4381033182144165
1768991427.3123586,69499,1.4477362632751465
1768991430.7469225,69599,1.433951735496521
1768991432.4675756,69649,1.4160345792770386
1768991468.711411,70699,1.4159462451934814
1768991470.448379,70749,1.417341947555542
1768991479.058691,70999,1.4405579566955566
1768991484.2465005,71149,1.4185713529586792
1768991491.1292708,71349,1.433935284614563
1768991494.5734134,71449,1.4452171325683594
1768991501.4377337,71649,1.427269458770752
1768991508.3130417,71849,1.4284124374389648
1768991515.1793506,72049,1.435701847076416
1768991563.2161205,73299,1.4198923110961914
1768991564.942859,73349,1.418531894683838
1768991583.7616572,73899,1.431368112564087
1768991597.5018132,74299,1.444036841392517
1768991599.2163956,74349,1.4439777135849
1768991604.3825727,74499,1.4292086362838745
1768991607.8070035,74599,1.4237209558486938
1768991609.530859,74649,1.4313535690307617
1768991625.0068753,75099,1.4228155612945557
1768991641.9925377,75449,1.425374150276184
1768991667.828704,76199,1.4138689041137695
1768991669.547374,76249,1.4193694591522217
1768991674.7541265,76399,1.4089514017105103
1768991707.6185632,77349,1.4156830310821533
1768991716.293826,77599,1.4216047525405884
1768991718.0093112,77649,1.4485207796096802
1768991721.4740226,77749,1.4469060897827148
1768991733.5460823,78099,1.4116759300231934
1768991750.69394,78449,1.407588005065918
1768991752.4131775,78499,1.4243301153182983
1768991767.943807,78949,1.4187209606170654
1768991774.8954191,79149,1.4294472932815552
1768991778.3554587,79249,1.4250729084014893
1768991785.2556245,79449,1.398888349533081
1768991800.7538047,79899,1.4201732873916626
1768991812.826337,80249,1.4354840517044067
1768991814.5404146,80299,1.4158225059509277
1768991823.148397,80549,1.4051861763000488
1768991836.9274037,80949,1.4496231079101562
1768991852.3942943,81399,1.4093329906463623
1768991854.1171098,81449,1.4025622606277466
1768991866.0457497,81649,1.4088654518127441
1768991874.6349592,81899,1.3993512392044067
1768991879.8184974,82049,1.4080690145492554
1768991883.2721212,82149,1.383907675743103
1768991888.4454625,82299,1.402918815612793
1768991893.651011,82449,1.425750732421875
1768991900.539108,82649,1.4095025062561035
1768991914.2972353,83049,1.421315312385559
1768991928.1127877,83449,1.416369915008545
1768991935.0196059,83649,1.4185998439788818
1768991940.1806295,83799,1.4120007753372192
1768991941.9036646,83849,1.4111117124557495
1768991952.2499006,84149,1.4240831136703491
1768991972.8794856,84599,1.434786081314087
1768991979.8161182,84799,1.4123291969299316
1768991981.529179,84849,1.4355846643447876
1768991983.260884,84899,1.3864991664886475
1768991986.72295,84999,1.3965661525726318
1768991991.9253223,85149,1.4147530794143677
1768992003.9996297,85499,1.404892921447754
1768992019.5272644,85949,1.4277774095535278
1768992021.2381992,85999,1.4021470546722412
1768992036.8145232,86449,1.4176032543182373
1768992043.7115834,86649,1.411881446838379
1768992047.1711876,86749,1.4149038791656494
1768992052.3593853,86899,1.4263756275177002
1768992061.0058262,87149,1.4075591564178467
1768992062.7288158,87199,1.404145359992981
1768992066.1790442,87299,1.3996269702911377
1768992067.9025116,87349,1.424413800239563
1768992069.6288843,87399,1.4231458902359009
1768992078.2534845,87649,1.4181280136108398
1768992107.3178165,88349,1.388573408126831
1768992122.8420794,88799,1.4115805625915527
1768992133.1755166,89099,1.3944934606552124
1768992145.2661302,89449,1.3980584144592285
1768992146.986506,89499,1.3969955444335938
1768992162.5127923,89949,1.412322998046875
1768992174.5879884,90299,1.398484468460083
1768992200.3068206,90899,1.4043068885803223
1768992212.375224,91249,1.3993024826049805
1768992215.8258553,91349,1.4291073083877563
1768992222.7427578,91549,1.425775408744812
1768992239.9788723,92049,1.4086425304412842
1768992241.6982417,92099,1.3874620199203491
1768992246.89807,92249,1.4242645502090454
1768992255.5002003,92499,1.3875030279159546
1768992262.416254,92699,1.3915512561798096
1768992284.8715274,93349,1.419386863708496
1768992290.0345678,93499,1.3905452489852905
1768992300.3697996,93799,1.3902262449264526
1768992302.090601,93849,1.4019112586975098
1768992303.810176,93899,1.4458616971969604
1768992336.4885392,94699,1.405739188194275
1768992367.6380026,95599,1.3868414163589478
1768992378.0188444,95899,1.3704339265823364
1768992390.0886793,96249,1.4057141542434692
1768992400.4563608,96549,1.3847367763519287
1768992407.3603497,96749,1.410762906074524
1768992410.789322,96849,1.402976632118225
1768992414.2412496,96949,1.3954510688781738
1768992429.6625018,97249,1.3795589208602905
1768992434.8236635,97399,1.4031753540039062
1768992438.2468247,97499,1.419836401939392
1768992443.4370444,97649,1.3998898267745972
1768992448.6042602,97799,1.4028908014297485
1768992453.7553275,97949,1.396036982536316
1768992469.26018,98399,1.4122406244277954
1768992472.7069967,98499,1.422635793685913
1768992493.3904188,99099,1.3889703750610352
1768992495.102401,99149,1.3989166021347046
1768992496.8165808,99199,1.4194754362106323
1768992520.9334042,99899,1.3897521495819092
1768992527.868763,100099,1.3936059474945068
1768992539.8671644,100299,1.3799060583114624
1768992546.8038762,100499,1.4086925983428955
1768992548.5339026,100549,1.4047771692276
1768992553.720876,100699,1.385498046875
1768992557.1669488,100799,1.4068636894226074
1768992560.5997026,100899,1.4056249856948853
1768992574.4648082,101299,1.3837987184524536
1768992577.900929,101399,1.4066200256347656
1768992583.0705686,101549,1.3994686603546143
1768992588.2756057,101699,1.4004093408584595
1768992593.4327023,101849,1.3928555250167847
1768992596.853485,101949,1.3945099115371704
1768992602.0259123,102099,1.3930625915527344
1768992634.7450826,103049,1.4084073305130005
1768992660.4336455,103649,1.3913979530334473
1768992662.1579185,103699,1.406063199043274
1768992663.885076,103749,1.4071552753448486
1768992667.335192,103849,1.4156501293182373
1768992669.0530765,103899,1.4074046611785889
1768992672.4887516,103999,1.395277738571167
1768992675.9307396,104099,1.408665418624878
1768992682.8226998,104299,1.4001601934432983
1768992689.7312307,104499,1.3980140686035156
1768992698.3568456,104749,1.4063827991485596
1768992701.7664094,104849,1.4023739099502563
1768992713.8553276,105199,1.3984302282333374
1768992719.0464737,105349,1.3848347663879395
1768992727.6835105,105599,1.3723376989364624
1768992734.5600162,105799,1.3689031600952148
1768992743.1825907,106049,1.365734577178955
1768992746.6378798,106149,1.428196668624878
1768992748.3727272,106199,1.4123114347457886
1768992772.3749015,106749,1.406548023223877
1768992779.272609,106949,1.4023395776748657
1768992784.4254763,107099,1.3868435621261597
1768992789.6267874,107249,1.3913401365280151
1768992791.3400426,107299,1.4087231159210205
1768992796.5177846,107449,1.4102444648742676
1768992798.247926,107499,1.381045937538147
1768992801.681045,107599,1.3849362134933472
1768992810.3272994,107849,1.3908087015151978
1768992812.0450108,107899,1.414280891418457
1768992824.0998304,108249,1.3946456909179688
1768992825.831548,108299,1.3658990859985352
1768992832.7055252,108499,1.3583508729934692
1768992836.155238,108599,1.3971103429794312
1768992839.6201344,108699,1.3822791576385498
1768992846.5203576,108899,1.361085057258606
1768992863.781821,109399,1.3771028518676758
1768992867.2298005,109499,1.3966618776321411
1768992870.688603,109599,1.3850609064102173
1768992872.4123328,109649,1.402087688446045
1768992884.2535496,109849,1.4034193754196167
1768992889.4587092,109999,1.3884024620056152
1768992903.3108892,110399,1.3734140396118164
1768992910.2050648,110599,1.3971554040908813
1768992934.3141603,111299,1.3863650560379028
1768992941.2061465,111499,1.3972556591033936
1768992944.6349905,111599,1.4187809228897095
1768992953.2455382,111849,1.4223941564559937
1768992954.9688902,111899,1.3940587043762207
1768992958.4083977,111999,1.3873460292816162
1768992961.8606992,112099,1.3768792152404785
1768992963.583889,112149,1.3634525537490845
1768992967.0622582,112249,1.3833118677139282
1768992970.5318224,112349,1.3787175416946411
1768992972.2477927,112399,1.4001495838165283
1768992984.303058,112749,1.4116907119750977
1768992994.6153524,112899,1.4018371105194092
1768993003.2162704,113149,1.4112143516540527
1768993035.981219,114099,1.4063878059387207
1768993053.2686975,114599,1.3825198411941528
1768993063.6572907,114899,1.3611565828323364
1768993068.836277,115049,1.4164745807647705
1768993073.9922287,115199,1.3862613439559937
1768993079.1542234,115349,1.3740369081497192
1768993080.8694382,115399,1.41241455078125
1768993082.5828967,115449,1.3753224611282349
1768993104.8168159,115949,1.3759695291519165
1768993106.5489182,115999,1.3776507377624512
1768993108.275003,116049,1.3880854845046997
1768993111.709031,116149,1.3783780336380005
1768993132.41936,116749,1.3802071809768677
1768993134.1346405,116799,1.380940556526184
1768993137.5892158,116899,1.409256935119629
1768993151.4075484,117299,1.3869781494140625
1768993166.939371,117749,1.4007132053375244
1768993196.2173855,118599,1.3938664197921753
1768993225.298222,119299,1.3784399032592773
1768993232.1967657,119499,1.3766674995422363
1768993233.9315197,119549,1.3694772720336914
1768993237.3876822,119649,1.3716137409210205
1768993251.1742196,120049,1.369512915611267
1768993254.6292076,120149,1.3795557022094727
1768993261.4863138,120349,1.3717718124389648
1768993278.7182844,120849,1.3786088228225708
1768993292.4821198,121249,1.3714303970336914
1768993294.2245045,121299,1.3709280490875244
1768993313.1893876,121849,1.3892346620559692
